rok;prijemce;castka;ucel;soubor
2025;Komunita Blahoslavenství - Dům ve Střelicích u Brna;25000;na pořízení nových dveří a oken, zateplení omítek;Komunita Blahoslavenství - Dům ve Střelicích u Brna 2025.pdf
2025;Rodinné centrum PifPaf z.s.;25000;kancelářské potřeby 7 000,- Kč, výtvarné potřeby 3 000,- Kč, pomůcky do Klubíku 5 000,- Kč, dílny pro děti 5 000,- Kč, lektorné – workshopy, přednášky 3 000,- Kč, odměny pro děti 2;Rodinné centrum PifPaf z.s.   2025.pdf
2025;FC AB Střelice z.s.;15000;startovné v okresní soutěži futsalu Brno, pronájem haly;FC AB Střelice z.s. 2025.pdf
2025;Pěvecký sbor Blahoslava Hajnce;10000;služby, provozní náklady;Pěvecký sbor Blahoslava Hajnce 2025.pdf
2025;Český svaz chovatelů ZO Ostopovice;8000;posuzovatelé na podzimní výstavě zvířat, nákup materiálu na opravu výstavních klecí, podklady – vědomostní soutěž na výstavu;Český svaz chovatelů ZO Ostopovice 2025.pdf
2026;Tělocvičná jednota Sokol Střelice;700000;údržba budov, provoz oddílů, kulturní akce, energie, rekonstrukce sprch, rozdělení na pánské a dámské, nákup nářadí a vybavení, výmalba části sokolovny a nátěr vchodových dveří;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Tělocvičná jednota Sokol Střelice 2026.pdf
2026;FK Střelice  z.s.;520000;oplocení areálu kolem vstupní části (nový plot od kabin po vjezdovou bránu), nová vstupní branka pro pěší, nová vjezdová brána, výměna sloupů a sítě pro zachytávání balónů ze stran;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - FK Střelice  z.s.  2026.pdf
2026;Sbor dobrovolných hasičů;450000;kulturní, sportovní a společenské akce, nákup 9místného dodávkového automobilu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Sbor dobrovolných hasičů 2026.pdf
2026;Římskokatolická farnost Střelice;200000;provoz, oprava kostela a jeho areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Římskokatolická farnost Střelice 2026.pdf
2026;Junák - český skaut středisko Wahínkpe Střelice z. s.;150000;úpravy venkovních ploch klubovny (boulderová stěna, hřiště, ohniště, …), doplnění táborového a sportovního vybavení a ostatní vybavení kluboven, zajištění celoroční činnosti středi;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Junák - český skaut středisko Wahínkpe Střelice z. s.  2026.pdf
2026;Diecézní charita Brno-Oblastní charita Rajhrad Blansko;132780;pečovatelská služba, chráněné bydlení;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Diecézní charita Brno-Oblastní charita Rajhrad Blansko 2026.pdf
2026;Včelařský spolek ve Střelicích u Brna;80000;budování včelařského areálu;Veřejnoprávní smlouva o poskytnutí dotace z rozpočtu obce - Včelařský spolek ve Střelicích u Brna 2026.pdf
